cold_run_id,restore_run_id,cold_response_s,restore_response_s,delta_s,kdat_cache,dump_phase,repeat_id
crossover2_initburst_100_cpuidle_rep10,crossover2_initburst_100_cpuidle_kon_rep10,0.126897,0.064904,-0.061993,on,served_first,10
crossover2_initburst_150_cpubusy_rep01,crossover2_initburst_150_cpubusy_koff_rep01,0.235866,0.205457,-0.030409,off,served_first,01
crossover2_initburst_150_cpubusy_rep01,crossover2_initburst_150_cpubusy_kon_rep01,0.235866,0.099165,-0.136701,on,served_first,01
crossover2_initburst_150_cpubusy_rep02,crossover2_initburst_150_cpubusy_koff_rep02,0.325413,0.22819,-0.097223,off,served_first,02
crossover2_initburst_150_cpubusy_rep02,crossover2_initburst_150_cpubusy_kon_rep02,0.325413,0.100166,-0.225247,on,served_first,02
crossover2_initburst_150_cpubusy_rep03,crossover2_initburst_150_cpubusy_koff_rep03,0.23803,0.21247,-0.02556,off,served_first,03
crossover2_initburst_150_cpubusy_rep03,crossover2_initburst_150_cpubusy_kon_rep03,0.23803,0.106557,-0.131473,on,served_first,03
crossover2_initburst_150_cpubusy_rep04,crossover2_initburst_150_cpubusy_koff_rep04,0.301249,0.206422,-0.094827,off,served_first,04
crossover2_initburst_150_cpubusy_rep04,crossover2_initburst_150_cpubusy_kon_rep04,0.301249,0.0961978,-0.205051,on,served_first,04
crossover2_initburst_150_cpubusy_rep05,crossover2_initburst_150_cpubusy_koff_rep05,0.342217,0.197019,-0.145198,off,served_first,05
crossover2_initburst_150_cpubusy_rep05,crossover2_initburst_150_cpubusy_kon_rep05,0.342217,0.106249,-0.235968,on,served_first,05
crossover2_initburst_150_cpubusy_rep06,crossover2_initburst_150_cpubusy_koff_rep06,0.324838,0.197747,-0.127091,off,served_first,06
crossover2_initburst_150_cpubusy_rep06,crossover2_initburst_150_cpubusy_kon_rep06,0.324838,0.125885,-0.198953,on,served_first,06
crossover2_initburst_150_cpubusy_rep07,crossover2_initburst_150_cpubusy_koff_rep07,0.23944,0.225133,-0.014307,off,served_first,07
crossover2_initburst_150_cpubusy_rep07,crossover2_initburst_150_cpubusy_kon_rep07,0.23944,0.109531,-0.129909,on,served_first,07
crossover2_initburst_150_cpubusy_rep08,crossover2_initburst_150_cpubusy_koff_rep08,0.336892,0.195752,-0.14114,off,served_first,08
crossover2_initburst_150_cpubusy_rep08,crossover2_initburst_150_cpubusy_kon_rep08,0.336892,0.0992711,-0.237621,on,served_first,08
crossover2_initburst_150_cpubusy_rep09,crossover2_initburst_150_cpubusy_koff_rep09,0.325453,0.201278,-0.124175,off,served_first,09
crossover2_initburst_150_cpubusy_rep09,crossover2_initburst_150_cpubusy_kon_rep09,0.325453,0.109368,-0.216085,on,served_first,09
crossover2_initburst_150_cpubusy_rep10,crossover2_initburst_150_cpubusy_koff_rep10,0.329653,0.228045,-0.101608,off,served_first,10
crossover2_initburst_150_cpubusy_rep10,crossover2_initburst_150_cpubusy_kon_rep10,0.329653,0.103117,-0.226536,on,served_first,10
crossover2_initburst_150_cpuidle_rep01,crossover2_initburst_150_cpuidle_koff_rep01,0.174795,0.125055,-0.04974,off,served_first,01
crossover2_initburst_150_cpuidle_rep01,crossover2_initburst_150_cpuidle_kon_rep01,0.174795,0.0648618,-0.109933,on,served_first,01
crossover2_initburst_150_cpuidle_rep02,crossover2_initburst_150_cpuidle_koff_rep02,0.168821,0.138176,-0.030645,off,served_first,02
crossover2_initburst_150_cpuidle_rep02,crossover2_initburst_150_cpuidle_kon_rep02,0.168821,0.0749571,-0.0938639,on,served_first,02
crossover2_initburst_150_cpuidle_rep03,crossover2_initburst_150_cpuidle_koff_rep03,0.174905,0.130628,-0.044277,off,served_first,03
crossover2_initburst_150_cpuidle_rep03,crossover2_initburst_150_cpuidle_kon_rep03,0.174905,0.0616992,-0.113206,on,served_first,03
crossover2_initburst_150_cpuidle_rep04,crossover2_initburst_150_cpuidle_koff_rep04,0.164871,0.128613,-0.036258,off,served_first,04
crossover2_initburst_150_cpuidle_rep04,crossover2_initburst_150_cpuidle_kon_rep04,0.164871,0.0620458,-0.102825,on,served_first,04
crossover2_initburst_150_cpuidle_rep05,crossover2_initburst_150_cpuidle_koff_rep05,0.1832,0.128934,-0.054266,off,served_first,05
crossover2_initburst_150_cpuidle_rep05,crossover2_initburst_150_cpuidle_kon_rep05,0.1832,0.0741301,-0.10907,on,served_first,05
crossover2_initburst_150_cpuidle_rep06,crossover2_initburst_150_cpuidle_koff_rep06,0.162921,0.139356,-0.023565,off,served_first,06
crossover2_initburst_150_cpuidle_rep06,crossover2_initburst_150_cpuidle_kon_rep06,0.162921,0.0678091,-0.0951119,on,served_first,06
crossover2_initburst_150_cpuidle_rep07,crossover2_initburst_150_cpuidle_koff_rep07,0.166732,0.141696,-0.025036,off,served_first,07
crossover2_initburst_150_cpuidle_rep07,crossover2_initburst_150_cpuidle_kon_rep07,0.166732,0.063035,-0.103697,on,served_first,07
crossover2_initburst_150_cpuidle_rep08,crossover2_initburst_150_cpuidle_koff_rep08,0.167104,0.124526,-0.042578,off,served_first,08
crossover2_initburst_150_cpuidle_rep08,crossover2_initburst_150_cpuidle_kon_rep08,0.167104,0.0709319,-0.0961721,on,served_first,08
crossover2_initburst_150_cpuidle_rep09,crossover2_initburst_150_cpuidle_koff_rep09,0.172208,0.142363,-0.029845,off,served_first,09
crossover2_initburst_150_cpuidle_rep09,crossover2_initburst_150_cpuidle_kon_rep09,0.172208,0.066843,-0.105365,on,served_first,09
crossover2_initburst_150_cpuidle_rep10,crossover2_initburst_150_cpuidle_koff_rep10,0.167384,0.130027,-0.037357,off,served_first,10
crossover2_initburst_150_cpuidle_rep10,crossover2_initburst_150_cpuidle_kon_rep10,0.167384,0.0597038,-0.10768,on,served_first,10
crossover2_initburst_200_cpubusy_rep01,crossover2_initburst_200_cpubusy_koff_rep01,0.432296,0.217877,-0.214419,off,served_first,01
