workload,phase,c_line_no,statement
fp_c_epg,f_shm_posix_l03,115,"int fd = shm_open(g_path_shm, O_CREAT | O_RDWR, 0600); if (fd < 0) die(""shm_open"");"
fp_c_epg,f_shm_posix_l04,117,"size_t n = 16ull << 20; if (ftruncate(fd, n) < 0) die(""shm ftruncate"");"
fp_c_epg,f_shm_posix_l05,119,"char *p = mmap(NULL, n, PROT_READ | PROT_WRITE, MAP_SHARED, fd, 0);"
fp_c_epg,f_shm_posix_l06,121,"if (p == MAP_FAILED) die(""shm mmap"");"
fp_c_epg,f_shm_posix_l07,123,for (size_t i = 0; i < n; i += 4096) p[i] = 3;
fp_c_epg,f_shm_posix,125,KEEP(p); KEEPFD(fd); }
fp_c_epg,f_inotify_l01,127,"{ snprintf(g_path_watch, sizeof(g_path_watch), ""/tmp/criuprobe_watch_p%d"", g_port);"
fp_c_epg,f_inotify_l02,129,"mkdir(g_path_watch, 0755);"
fp_c_epg,f_inotify_l03,131,"int fd = inotify_init1(IN_NONBLOCK); if (fd < 0) die(""inotify_init1"");"
fp_c_epg,f_inotify_l04,133,"if (inotify_add_watch(fd, g_path_watch, IN_CREATE | IN_MODIFY) < 0) die(""inotify_add_watch"");"
fp_c_epg,f_inotify,135,KEEPFD(fd); }
fp_c_epg,f_mmap_shared_l01,137,"{ snprintf(g_path_maps, sizeof(g_path_maps), ""/tmp/criuprobe_maps_p%d"", g_port);"
fp_c_epg,f_mmap_shared_l02,139,"int fd = open(g_path_maps, O_CREAT | O_RDWR, 0644); if (fd < 0) die(""maps open"");"
fp_c_epg,f_mmap_shared_l03,141,"size_t n = 8ull << 20; if (ftruncate(fd, n) < 0) die(""maps ftruncate"");"
fp_c_epg,f_mmap_shared_l04,143,"char *p = mmap(NULL, n, PROT_READ | PROT_WRITE, MAP_SHARED, fd, 0);"
fp_c_epg,f_mmap_shared_l05,145,"if (p == MAP_FAILED) die(""maps mmap"");"
fp_c_epg,f_mmap_shared_l06,147,for (size_t i = 0; i < n; i += 4096) p[i] = 6;
fp_c_epg,f_mmap_shared,149,KEEP(p); KEEPFD(fd); }
fp_c_epg,steady,158,"probe_serve_pending(lfd, 100);"
fp_c_luna_client,init,100,g_port = (int)port;
fp_c_luna_client,base_mem,108,}
fp_c_luna_client,f_unix_conn_l01,120,"int cl = socket(AF_UNIX, SOCK_STREAM, 0); if (cl < 0) die(""uconn socket"");"
fp_c_luna_client,f_unix_conn_l02,122,"struct sockaddr_un a; memset(&a, 0, sizeof(a)); a.sun_family = AF_UNIX;"
fp_c_luna_client,f_unix_conn_l03,124,"snprintf(a.sun_path, sizeof(a.sun_path), ""%s"", g_path_us);"
fp_c_luna_client,f_unix_conn_l04,126,"if (connect(cl, (struct sockaddr *)&a, sizeof(a)) < 0) die(""uconn connect"");"
fp_c_luna_client,f_unix_conn_l05,128,"int sv = accept(g_usfd, NULL, NULL); if (sv < 0) die(""uconn accept"");"
fp_c_luna_client,f_unix_conn,130,KEEPFD(cl); KEEPFD(sv); }
fp_c_luna_client,f_epoll_l01,132,"{ int ep = epoll_create1(0); if (ep < 0) die(""epoll_create1"");"
fp_c_luna_client,f_epoll_l02,134,"int ev = eventfd(0, EFD_NONBLOCK); if (ev < 0) die(""epoll eventfd"");"
fp_c_luna_client,f_epoll_l03,136,"struct epoll_event e = { .events = EPOLLIN, .data = { .fd = ev } };"
fp_c_luna_client,f_epoll_l04,138,"if (epoll_ctl(ep, EPOLL_CTL_ADD, ev, &e) < 0) die(""epoll_ctl"");"
fp_c_luna_client,f_epoll,140,KEEPFD(ep); KEEPFD(ev); }
fp_c_luna_client,f_eventfd,142,"{ int fd = eventfd(1, EFD_NONBLOCK); if (fd < 0) die(""eventfd""); KEEPFD(fd); }"
fp_c_luna_client,steady,151,"probe_serve_pending(lfd, 100);"
fp_c_luna_daemon,init,100,g_port = (int)port;
fp_c_luna_daemon,base_mem,108,}
fp_c_luna_daemon,f_unix_listen_l01,111,"{ snprintf(g_path_us, sizeof(g_path_us), ""/tmp/criuprobe_us_p%d"", g_port);"
fp_c_luna_daemon,f_unix_listen_l02,113,unlink(g_path_us);
fp_c_luna_daemon,f_unix_listen_l03,115,"int fd = socket(AF_UNIX, SOCK_STREAM, 0); if (fd < 0) die(""us socket"");"
fp_c_luna_daemon,f_unix_listen_l04,117,"struct sockaddr_un a; memset(&a, 0, sizeof(a)); a.sun_family = AF_UNIX;"
fp_c_luna_daemon,f_unix_listen_l05,119,"snprintf(a.sun_path, sizeof(a.sun_path), ""%s"", g_path_us);"
fp_c_luna_daemon,f_unix_listen_l06,121,"if (bind(fd, (struct sockaddr *)&a, sizeof(a)) < 0) die(""us bind"");"
fp_c_luna_daemon,f_unix_listen,124,KEEPFD(fd); g_usfd = fd; }
fp_c_luna_daemon,f_epoll_l01,126,"{ int ep = epoll_create1(0); if (ep < 0) die(""epoll_create1"");"
fp_c_luna_daemon,f_epoll_l02,128,"int ev = eventfd(0, EFD_NONBLOCK); if (ev < 0) die(""epoll eventfd"");"
fp_c_luna_daemon,f_epoll_l03,130,"struct epoll_event e = { .events = EPOLLIN, .data = { .fd = ev } };"
fp_c_luna_daemon,f_epoll_l04,132,"if (epoll_ctl(ep, EPOLL_CTL_ADD, ev, &e) < 0) die(""epoll_ctl"");"
fp_c_luna_daemon,f_epoll,134,KEEPFD(ep); KEEPFD(ev); }
fp_c_luna_daemon,f_child,137,"if (c == 0) { for (;;) { struct timespec ts = { 0, 50000000L }; nanosleep(&ts, NULL); } } }"
fp_c_luna_daemon,steady,147,"{ int st; while (waitpid(-1, &st, WNOHANG) > 0) {} }"
fp_c_launcher,init,100,g_port = (int)port;
fp_c_launcher,base_mem,108,}
fp_c_launcher,f_child,112,"if (c == 0) { for (;;) { struct timespec ts = { 0, 50000000L }; nanosleep(&ts, NULL); } } }"
fp_c_launcher,f_grandchild,117,"for (;;) { struct timespec ts = { 0, 50000000L }; nanosleep(&ts, NULL); } } }"
fp_c_launcher,f_session,117,"for (;;) { struct timespec ts = { 0, 50000000L }; nanosleep(&ts, NULL); } } }"
fp_c_launcher,steady,130,"{ int st; while (waitpid(-1, &st, WNOHANG) > 0) {} }"
fp_c_browser,init,100,g_port = (int)port;
fp_c_browser,base_mem,108,}
fp_c_browser,f_thread4,113,} }
fp_c_browser,f_large_heap_l01,115,"{ size_t n = 300ull << 20; char *p = malloc(n); if (!p) die(""large_heap malloc"");"
fp_c_browser,f_large_heap_l02,117,for (size_t i = 0; i < n; i += 4096) p[i] = 1;
fp_c_browser,f_large_heap,119,KEEP(p); }
fp_c_browser,f_memfd_l01,121,"{ int fd = memfd_create(""criuprobe"", 0); if (fd < 0) die(""memfd_create"");"
fp_c_browser,f_memfd_l02,123,"size_t n = 16ull << 20; if (ftruncate(fd, n) < 0) die(""memfd ftruncate"");"
fp_c_browser,f_memfd_l03,125,"char *p = mmap(NULL, n, PROT_READ | PROT_WRITE, MAP_SHARED, fd, 0);"
fp_c_browser,f_memfd_l04,127,"if (p == MAP_FAILED) die(""memfd mmap"");"
fp_c_browser,f_memfd_l05,129,for (size_t i = 0; i < n; i += 4096) p[i] = 2;
fp_c_browser,f_memfd,131,KEEP(p); KEEPFD(fd); }
fp_c_browser,f_socketpair_l01,133,"{ int sv[2]; if (socketpair(AF_UNIX, SOCK_STREAM, 0, sv) < 0) die(""socketpair"");"
fp_c_browser,f_socketpair,136,KEEPFD(sv[0]); KEEPFD(sv[1]); }
fp_c_browser,steady,145,"probe_serve_pending(lfd, 100);"
fp_c_ads,init,100,g_port = (int)port;
fp_c_ads,base_mem,108,}
fp_c_ads,f_udp_l01,111,"{ int fd = socket(AF_INET, SOCK_DGRAM, 0); if (fd < 0) die(""udp socket"");"
fp_c_ads,f_udp_l02,113,"struct sockaddr_in a; memset(&a, 0, sizeof(a)); a.sin_family = AF_INET;"
fp_c_ads,f_udp_l03,115,a.sin_addr.s_addr = htonl(INADDR_LOOPBACK); a.sin_port = 0;
fp_c_ads,f_udp,118,KEEPFD(fd); }
fp_c_ads,f_itimer_l01,120,"{ struct sigaction sa; memset(&sa, 0, sizeof(sa)); sa.sa_handler = wk_sig_noop;"
fp_c_ads,f_itimer_l02,122,"if (sigaction(SIGALRM, &sa, NULL) < 0) die(""sigaction ALRM"");"
fp_c_ads,f_itimer_l03,124,"struct itimerval iv = { { 0, 200000 }, { 0, 200000 } };"
fp_c_ads,f_itimer,127,}
fp_c_ads,f_logfile_l01,129,"{ snprintf(g_path_logfile, sizeof(g_path_logfile), ""/tmp/criuprobe_log_p%d"", g_port);"
fp_c_ads,f_logfile_l02,131,"int fd = open(g_path_logfile, O_CREAT | O_WRONLY | O_APPEND, 0644);"
fp_c_ads,f_logfile,134,"dprintf(fd, ""start\n""); KEEPFD(fd); g_logfd = fd; }"
fp_c_ads,steady,144,"if (g_logfd >= 0) dprintf(g_logfd, ""t\n"");"
fp_c_voice,init,100,g_port = (int)port;
fp_c_voice,base_mem,108,}
fp_c_voice,f_signalfd_l01,111,"{ sigset_t m; sigemptyset(&m); sigaddset(&m, SIGUSR1);"
fp_c_voice,f_signalfd_l02,113,"if (sigprocmask(SIG_BLOCK, &m, NULL) < 0) die(""sigprocmask"");"
fp_c_voice,f_signalfd,115,"int fd = signalfd(-1, &m, SFD_NONBLOCK); if (fd < 0) die(""signalfd""); KEEPFD(fd); }"
fp_c_voice,f_thread1,117,"{ pthread_t t; if (pthread_create(&t, NULL, wk_sleeper, NULL) != 0) die(""pthread_create""); }"
fp_c_voice,f_pipe_l01,119,"{ int p[2]; if (pipe2(p, 0) < 0) die(""pipe2"");"
fp_c_voice,f_pipe_l02,121,"if (write(p[1], ""pending-data\n"", 13) != 13) die(""pipe write"");"
fp_c_voice,f_pipe,123,KEEPFD(p[0]); KEEPFD(p[1]); }
fp_c_voice,steady,132,"probe_serve_pending(lfd, 100);"
fp_c_photos,init,100,g_port = (int)port;
fp_c_photos,base_mem,108,}
fp_c_photos,f_mmap_priv_l01,111,"{ snprintf(g_path_map, sizeof(g_path_map), ""/tmp/criuprobe_map_p%d"", g_port);"
fp_c_photos,f_mmap_priv_l02,113,"int fd = open(g_path_map, O_CREAT | O_RDWR, 0644); if (fd < 0) die(""map open"");"
fp_c_photos,f_mmap_priv_l03,115,"size_t n = 8ull << 20; if (ftruncate(fd, n) < 0) die(""map ftruncate"");"
fp_c_photos,f_mmap_priv_l04,117,"char *p = mmap(NULL, n, PROT_READ | PROT_WRITE, MAP_PRIVATE, fd, 0);"
fp_c_photos,f_mmap_priv_l05,119,"if (p == MAP_FAILED) die(""map mmap"");"
fp_c_photos,f_mmap_priv_l06,121,for (size_t i = 0; i < n; i += 4096) p[i] = 5;
fp_c_photos,f_mmap_priv,123,KEEP(p); close(fd); }
fp_c_photos,f_large_heap_l01,125,"{ size_t n = 300ull << 20; char *p = malloc(n); if (!p) die(""large_heap malloc"");"
fp_c_photos,f_large_heap_l02,127,for (size_t i = 0; i < n; i += 4096) p[i] = 1;
fp_c_photos,f_large_heap,129,KEEP(p); }
fp_c_photos,steady,138,"probe_serve_pending(lfd, 100);"
fp_c_game,init,100,g_port = (int)port;
fp_c_game,base_mem,108,}
fp_c_game,f_large_heap_l01,111,"{ size_t n = 300ull << 20; char *p = malloc(n); if (!p) die(""large_heap malloc"");"
fp_c_game,f_large_heap_l02,113,for (size_t i = 0; i < n; i += 4096) p[i] = 1;
fp_c_game,f_large_heap,115,KEEP(p); }
fp_c_game,f_thread4,119,} }
fp_c_game,f_futex_wait,121,"{ pthread_t t; if (pthread_create(&t, NULL, wk_futex_wait, NULL) != 0) die(""pthread futex""); }"
fp_c_game,steady,130,"probe_serve_pending(lfd, 100);"
fp_c_settings,init,100,g_port = (int)port;
fp_c_settings,base_mem,108,}
fp_c_settings,f_mq_l01,111,"{ snprintf(g_path_mq, sizeof(g_path_mq), ""/criuprobe_mq_p%d"", g_port);"
fp_c_settings,f_mq_l02,113,mq_unlink(g_path_mq);
fp_c_settings,f_mq_l03,115,"struct mq_attr at = { .mq_flags = 0, .mq_maxmsg = 4, .mq_msgsize = 64 };"
fp_c_settings,f_mq_l04,117,"mqd_t q = mq_open(g_path_mq, O_CREAT | O_RDWR | O_NONBLOCK, 0600, &at);"
fp_c_settings,f_mq_l05,119,"if (q == (mqd_t)-1) die(""mq_open"");"
fp_c_settings,f_mq,122,KEEPFD((int)q); }
fp_c_settings,f_sem_sysv_l01,124,"{ int id = semget(IPC_PRIVATE, 1, IPC_CREAT | 0600); if (id < 0) die(""semget"");"
fp_c_settings,f_sem_sysv_l02,126,union semun { int val; } arg; arg.val = 1;
fp_c_settings,f_sem_sysv,129,g_semid = id; }
fp_c_settings,f_logfile_l01,131,"{ snprintf(g_path_logfile, sizeof(g_path_logfile), ""/tmp/criuprobe_log_p%d"", g_port);"
fp_c_settings,f_logfile_l02,133,"int fd = open(g_path_logfile, O_CREAT | O_WRONLY | O_APPEND, 0644);"
fp_c_settings,f_logfile,136,"dprintf(fd, ""start\n""); KEEPFD(fd); g_logfd = fd; }"
fp_c_settings,steady,146,"if (g_logfd >= 0) dprintf(g_logfd, ""t\n"");"
fp_c_updater,init,100,g_port = (int)port;
fp_c_updater,base_mem,108,}
fp_c_updater,f_inotify_l01,111,"{ snprintf(g_path_watch, sizeof(g_path_watch), ""/tmp/criuprobe_watch_p%d"", g_port);"
fp_c_updater,f_inotify_l02,113,"mkdir(g_path_watch, 0755);"
fp_c_updater,f_inotify_l03,115,"int fd = inotify_init1(IN_NONBLOCK); if (fd < 0) die(""inotify_init1"");"
fp_c_updater,f_inotify_l04,117,"if (inotify_add_watch(fd, g_path_watch, IN_CREATE | IN_MODIFY) < 0) die(""inotify_add_watch"");"
fp_c_updater,f_inotify,119,KEEPFD(fd); }
fp_c_updater,f_tmpunlink_l01,121,"{ char tmpl[] = ""/tmp/criuprobe_ghost_XXXXXX""; int fd = mkstemp(tmpl);"
fp_c_updater,f_tmpunlink_l02,124,"char b[4096]; memset(b, 7, sizeof(b));"
fp_c_updater,f_tmpunlink_l03,126,"if (write(fd, b, sizeof(b)) != sizeof(b)) die(""ghost write"");"
fp_c_updater,f_tmpunlink,129,KEEPFD(fd); }
fp_c_updater,f_lock_posix_l01,131,"{ snprintf(g_path_plock, sizeof(g_path_plock), ""/tmp/criuprobe_plock_p%d"", g_port);"
fp_c_updater,f_lock_posix_l02,133,"int fd = open(g_path_plock, O_CREAT | O_RDWR, 0644); if (fd < 0) die(""plock open"");"
fp_c_updater,f_lock_posix_l03,135,"struct flock fl; memset(&fl, 0, sizeof(fl)); fl.l_type = F_WRLCK; fl.l_whence = SEEK_SET;"
fp_c_updater,f_lock_posix,138,KEEPFD(fd); }
fp_c_updater,steady,147,"probe_serve_pending(lfd, 100);"
fp_c_screensaver,init,100,g_port = (int)port;
fp_c_screensaver,base_mem,108,}
fp_c_screensaver,f_timerfd_l01,111,"{ int fd = timerfd_create(CLOCK_MONOTONIC, TFD_NONBLOCK);"
fp_c_screensaver,f_timerfd_l02,113,"if (fd < 0) die(""timerfd_create"");"
fp_c_screensaver,f_timerfd_l03,115,"struct itimerspec its = { .it_interval = { 0, 100000000L }, .it_value = { 0, 100000000L } };"
fp_c_screensaver,f_timerfd_l04,117,"if (timerfd_settime(fd, 0, &its, NULL) < 0) die(""timerfd_settime"");"
fp_c_screensaver,f_timerfd,119,KEEPFD(fd); g_tfd = fd; }
fp_c_screensaver,f_mmap_priv_l01,121,"{ snprintf(g_path_map, sizeof(g_path_map), ""/tmp/criuprobe_map_p%d"", g_port);"
fp_c_screensaver,f_mmap_priv_l02,123,"int fd = open(g_path_map, O_CREAT | O_RDWR, 0644); if (fd < 0) die(""map open"");"
fp_c_screensaver,f_mmap_priv_l03,125,"size_t n = 8ull << 20; if (ftruncate(fd, n) < 0) die(""map ftruncate"");"
fp_c_screensaver,f_mmap_priv_l04,127,"char *p = mmap(NULL, n, PROT_READ | PROT_WRITE, MAP_PRIVATE, fd, 0);"
fp_c_screensaver,f_mmap_priv_l05,129,"if (p == MAP_FAILED) die(""map mmap"");"
fp_c_screensaver,f_mmap_priv_l06,131,for (size_t i = 0; i < n; i += 4096) p[i] = 5;
fp_c_screensaver,f_mmap_priv,133,KEEP(p); close(fd); }
fp_c_screensaver,steady,143,"if (g_tfd >= 0) { uint64_t exp; while (read(g_tfd, &exp, sizeof(exp)) > 0) {} }"
fp_c_telemetry,init,100,g_port = (int)port;
fp_c_telemetry,base_mem,108,}
fp_c_telemetry,f_udp_l01,111,"{ int fd = socket(AF_INET, SOCK_DGRAM, 0); if (fd < 0) die(""udp socket"");"
fp_c_telemetry,f_udp_l02,113,"struct sockaddr_in a; memset(&a, 0, sizeof(a)); a.sin_family = AF_INET;"
fp_c_telemetry,f_udp_l03,115,a.sin_addr.s_addr = htonl(INADDR_LOOPBACK); a.sin_port = 0;
fp_c_telemetry,f_udp,118,KEEPFD(fd); }
fp_c_telemetry,f_logfile_l01,120,"{ snprintf(g_path_logfile, sizeof(g_path_logfile), ""/tmp/criuprobe_log_p%d"", g_port);"
fp_c_telemetry,f_logfile_l02,122,"int fd = open(g_path_logfile, O_CREAT | O_WRONLY | O_APPEND, 0644);"
fp_c_telemetry,f_logfile,125,"dprintf(fd, ""start\n""); KEEPFD(fd); g_logfd = fd; }"
fp_c_telemetry,f_posix_timer_l01,127,"{ struct sigaction sa; memset(&sa, 0, sizeof(sa)); sa.sa_handler = wk_sig_noop;"
fp_c_telemetry,f_posix_timer_l02,129,"if (sigaction(SIGRTMIN, &sa, NULL) < 0) die(""sigaction RT"");"
fp_c_telemetry,f_posix_timer_l03,131,"timer_t tid; struct sigevent se; memset(&se, 0, sizeof(se));"
fp_c_telemetry,f_posix_timer_l04,133,se.sigev_notify = SIGEV_SIGNAL; se.sigev_signo = SIGRTMIN;
fp_c_telemetry,f_posix_timer_l05,135,"if (timer_create(CLOCK_MONOTONIC, &se, &tid) < 0) die(""timer_create"");"
fp_c_telemetry,f_posix_timer_l06,137,"struct itimerspec its = { { 0, 200000000L }, { 0, 200000000L } };"
fp_c_telemetry,f_posix_timer,140,}
fp_c_telemetry,steady,150,"if (g_logfd >= 0) dprintf(g_logfd, ""t\n"");"
fp_c_broker,init,100,g_port = (int)port;
fp_c_broker,base_mem,108,}
fp_c_broker,f_socketpair_l01,111,"{ int sv[2]; if (socketpair(AF_UNIX, SOCK_STREAM, 0, sv) < 0) die(""socketpair"");"
fp_c_broker,f_socketpair,114,KEEPFD(sv[0]); KEEPFD(sv[1]); }
fp_c_broker,f_unix_listen_l01,116,"{ snprintf(g_path_us, sizeof(g_path_us), ""/tmp/criuprobe_us_p%d"", g_port);"
fp_c_broker,f_unix_listen_l02,118,unlink(g_path_us);
fp_c_broker,f_unix_listen_l03,120,"int fd = socket(AF_UNIX, SOCK_STREAM, 0); if (fd < 0) die(""us socket"");"
fp_c_broker,f_unix_listen_l04,122,"struct sockaddr_un a; memset(&a, 0, sizeof(a)); a.sun_family = AF_UNIX;"
fp_c_broker,f_unix_listen_l05,124,"snprintf(a.sun_path, sizeof(a.sun_path), ""%s"", g_path_us);"
fp_c_broker,f_unix_listen_l06,126,"if (bind(fd, (struct sockaddr *)&a, sizeof(a)) < 0) die(""us bind"");"
fp_c_broker,f_unix_listen,129,KEEPFD(fd); g_usfd = fd; }
fp_c_broker,f_epoll_l01,131,"{ int ep = epoll_create1(0); if (ep < 0) die(""epoll_create1"");"
fp_c_broker,f_epoll_l02,133,"int ev = eventfd(0, EFD_NONBLOCK); if (ev < 0) die(""epoll eventfd"");"
fp_c_broker,f_epoll_l03,135,"struct epoll_event e = { .events = EPOLLIN, .data = { .fd = ev } };"
fp_c_broker,f_epoll_l04,137,"if (epoll_ctl(ep, EPOLL_CTL_ADD, ev, &e) < 0) die(""epoll_ctl"");"
fp_c_broker,f_epoll,139,KEEPFD(ep); KEEPFD(ev); }
fp_c_broker,steady,148,"probe_serve_pending(lfd, 100);"
fp_c_db,init,100,g_port = (int)port;
fp_c_db,base_mem,108,}
fp_c_db,f_lock_posix_l01,111,"{ snprintf(g_path_plock, sizeof(g_path_plock), ""/tmp/criuprobe_plock_p%d"", g_port);"
fp_c_db,f_lock_posix_l02,113,"int fd = open(g_path_plock, O_CREAT | O_RDWR, 0644); if (fd < 0) die(""plock open"");"
fp_c_db,f_lock_posix_l03,115,"struct flock fl; memset(&fl, 0, sizeof(fl)); fl.l_type = F_WRLCK; fl.l_whence = SEEK_SET;"
fp_c_db,f_lock_posix,118,KEEPFD(fd); }
fp_c_db,f_mmap_shared_l01,120,"{ snprintf(g_path_maps, sizeof(g_path_maps), ""/tmp/criuprobe_maps_p%d"", g_port);"
fp_c_db,f_mmap_shared_l02,122,"int fd = open(g_path_maps, O_CREAT | O_RDWR, 0644); if (fd < 0) die(""maps open"");"
fp_c_db,f_mmap_shared_l03,124,"size_t n = 8ull << 20; if (ftruncate(fd, n) < 0) die(""maps ftruncate"");"
fp_c_db,f_mmap_shared_l04,126,"char *p = mmap(NULL, n, PROT_READ | PROT_WRITE, MAP_SHARED, fd, 0);"
fp_c_db,f_mmap_shared_l05,128,"if (p == MAP_FAILED) die(""maps mmap"");"
fp_c_db,f_mmap_shared_l06,130,for (size_t i = 0; i < n; i += 4096) p[i] = 6;
fp_c_db,f_mmap_shared,132,KEEP(p); KEEPFD(fd); }
fp_c_db,f_logfile_l01,134,"{ snprintf(g_path_logfile, sizeof(g_path_logfile), ""/tmp/criuprobe_log_p%d"", g_port);"
fp_c_db,f_logfile_l02,136,"int fd = open(g_path_logfile, O_CREAT | O_WRONLY | O_APPEND, 0644);"
fp_c_db,f_logfile,139,"dprintf(fd, ""start\n""); KEEPFD(fd); g_logfd = fd; }"
fp_c_db,steady,149,"if (g_logfd >= 0) dprintf(g_logfd, ""t\n"");"
fp_c_thumbnailer,init,100,g_port = (int)port;
fp_c_thumbnailer,base_mem,108,}
fp_c_thumbnailer,f_child,112,"if (c == 0) { for (;;) { struct timespec ts = { 0, 50000000L }; nanosleep(&ts, NULL); } } }"
fp_c_thumbnailer,f_pipe_l01,114,"{ int p[2]; if (pipe2(p, 0) < 0) die(""pipe2"");"
fp_c_thumbnailer,f_pipe_l02,116,"if (write(p[1], ""pending-data\n"", 13) != 13) die(""pipe write"");"
fp_c_thumbnailer,f_pipe,118,KEEPFD(p[0]); KEEPFD(p[1]); }
fp_c_thumbnailer,f_tmpunlink_l01,120,"{ char tmpl[] = ""/tmp/criuprobe_ghost_XXXXXX""; int fd = mkstemp(tmpl);"
fp_c_thumbnailer,f_tmpunlink_l02,123,"char b[4096]; memset(b, 7, sizeof(b));"
fp_c_thumbnailer,f_tmpunlink_l03,125,"if (write(fd, b, sizeof(b)) != sizeof(b)) die(""ghost write"");"
fp_c_thumbnailer,f_tmpunlink,128,KEEPFD(fd); }
fp_c_thumbnailer,steady,138,"{ int st; while (waitpid(-1, &st, WNOHANG) > 0) {} }"
fp_c_notify,init,100,g_port = (int)port;
fp_c_notify,base_mem,108,}
fp_c_notify,f_eventfd,111,"{ int fd = eventfd(1, EFD_NONBLOCK); if (fd < 0) die(""eventfd""); KEEPFD(fd); }"
fp_c_notify,f_timerfd_l01,113,"{ int fd = timerfd_create(CLOCK_MONOTONIC, TFD_NONBLOCK);"
fp_c_notify,f_timerfd_l02,115,"if (fd < 0) die(""timerfd_create"");"
fp_c_notify,f_timerfd_l03,117,"struct itimerspec its = { .it_interval = { 0, 100000000L }, .it_value = { 0, 100000000L } };"
fp_c_notify,f_timerfd_l04,119,"if (timerfd_settime(fd, 0, &its, NULL) < 0) die(""timerfd_settime"");"
fp_c_notify,f_timerfd,121,KEEPFD(fd); g_tfd = fd; }
fp_c_notify,f_unix_conn_l01,132,"int cl = socket(AF_UNIX, SOCK_STREAM, 0); if (cl < 0) die(""uconn socket"");"
fp_c_notify,f_unix_conn_l02,134,"struct sockaddr_un a; memset(&a, 0, sizeof(a)); a.sun_family = AF_UNIX;"
fp_c_notify,f_unix_conn_l03,136,"snprintf(a.sun_path, sizeof(a.sun_path), ""%s"", g_path_us);"
fp_c_notify,f_unix_conn_l04,138,"if (connect(cl, (struct sockaddr *)&a, sizeof(a)) < 0) die(""uconn connect"");"
fp_c_notify,f_unix_conn_l05,140,"int sv = accept(g_usfd, NULL, NULL); if (sv < 0) die(""uconn accept"");"
fp_c_notify,f_unix_conn,142,KEEPFD(cl); KEEPFD(sv); }
fp_c_notify,steady,152,"if (g_tfd >= 0) { uint64_t exp; while (read(g_tfd, &exp, sizeof(exp)) > 0) {} }"
fp_c_input,init,100,g_port = (int)port;
fp_c_input,base_mem,108,}
fp_c_input,f_epoll_l01,111,"{ int ep = epoll_create1(0); if (ep < 0) die(""epoll_create1"");"
fp_c_input,f_epoll_l02,113,"int ev = eventfd(0, EFD_NONBLOCK); if (ev < 0) die(""epoll eventfd"");"
fp_c_input,f_epoll_l03,115,"struct epoll_event e = { .events = EPOLLIN, .data = { .fd = ev } };"
fp_c_input,f_epoll_l04,117,"if (epoll_ctl(ep, EPOLL_CTL_ADD, ev, &e) < 0) die(""epoll_ctl"");"
fp_c_input,f_epoll,119,KEEPFD(ep); KEEPFD(ev); }
fp_c_input,f_timerfd_l01,121,"{ int fd = timerfd_create(CLOCK_MONOTONIC, TFD_NONBLOCK);"
fp_c_input,f_timerfd_l02,123,"if (fd < 0) die(""timerfd_create"");"
fp_c_input,f_timerfd_l03,125,"struct itimerspec its = { .it_interval = { 0, 100000000L }, .it_value = { 0, 100000000L } };"
fp_c_input,f_timerfd_l04,127,"if (timerfd_settime(fd, 0, &its, NULL) < 0) die(""timerfd_settime"");"
fp_c_input,f_timerfd,129,KEEPFD(fd); g_tfd = fd; }
fp_c_input,f_unix_listen_l01,131,"{ snprintf(g_path_us, sizeof(g_path_us), ""/tmp/criuprobe_us_p%d"", g_port);"
fp_c_input,f_unix_listen_l02,133,unlink(g_path_us);
fp_c_input,f_unix_listen_l03,135,"int fd = socket(AF_UNIX, SOCK_STREAM, 0); if (fd < 0) die(""us socket"");"
fp_c_input,f_unix_listen_l04,137,"struct sockaddr_un a; memset(&a, 0, sizeof(a)); a.sun_family = AF_UNIX;"
fp_c_input,f_unix_listen_l05,139,"snprintf(a.sun_path, sizeof(a.sun_path), ""%s"", g_path_us);"
fp_c_input,f_unix_listen_l06,141,"if (bind(fd, (struct sockaddr *)&a, sizeof(a)) < 0) die(""us bind"");"
fp_c_input,f_unix_listen,144,KEEPFD(fd); g_usfd = fd; }
fp_c_input,steady,154,"if (g_tfd >= 0) { uint64_t exp; while (read(g_tfd, &exp, sizeof(exp)) > 0) {} }"
fp_c_wifi,init,100,g_port = (int)port;
fp_c_wifi,base_mem,108,}
fp_c_wifi,f_netlink_l01,111,"{ int fd = socket(AF_NETLINK, SOCK_RAW, NETLINK_ROUTE);"
fp_c_wifi,f_netlink_l02,113,"if (fd < 0) die(""netlink socket"");"
fp_c_wifi,f_netlink_l03,115,"struct sockaddr_nl a; memset(&a, 0, sizeof(a)); a.nl_family = AF_NETLINK;"
fp_c_wifi,f_netlink_l04,117,a.nl_groups = RTMGRP_LINK;
fp_c_wifi,f_netlink_l05,119,"if (bind(fd, (struct sockaddr *)&a, sizeof(a)) < 0) die(""netlink bind"");"
fp_c_wifi,f_netlink,121,KEEPFD(fd); }
fp_c_wifi,f_epoll_l01,123,"{ int ep = epoll_create1(0); if (ep < 0) die(""epoll_create1"");"
fp_c_wifi,f_epoll_l02,125,"int ev = eventfd(0, EFD_NONBLOCK); if (ev < 0) die(""epoll eventfd"");"
fp_c_wifi,f_epoll_l03,127,"struct epoll_event e = { .events = EPOLLIN, .data = { .fd = ev } };"
