scenario,family,phase,criu_opts,pre_dump,post_dump,restore_mem_mib,hub_mode,launch_ok,dump_rc,restore_rc,img_kib,v_pong,v_stat,v_hub,v_tcp,v_live5,v_resume,rereg_ms,verdict,world,dump_err,restore_err
S057one_urandom.ext___db_open,S,db_open,ext_unix,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12520 regs=3236 log_rx=53750 svcs=4 mem_mib=854 memd_kills=90","",""
S057one_urandom.ext___dev_urandom,S,dev_urandom,ext_unix,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12528 regs=3236 log_rx=53800 svcs=4 mem_mib=854 memd_kills=90","",""
S057one_urandom.ext___epg_index,S,epg_index,ext_unix,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12537 regs=3236 log_rx=53850 svcs=4 mem_mib=854 memd_kills=90","",""
S057one_urandom.ext___ready,S,ready,ext_unix,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12545 regs=3236 log_rx=53850 svcs=4 mem_mib=854 memd_kills=90","(00.135693) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S057one_urandom.ext___steady,S,steady,ext_unix,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12554 regs=3236 log_rx=53900 svcs=4 mem_mib=854 memd_kills=90","(00.147131) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S058one_urandom.tcp___init,S,init,tcp_est,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12562 regs=3236 log_rx=53950 svcs=4 mem_mib=855 memd_kills=90","",""
S058one_urandom.tcp___db_open,S,db_open,tcp_est,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12570 regs=3236 log_rx=53950 svcs=4 mem_mib=854 memd_kills=90","",""
S058one_urandom.tcp___dev_urandom,S,dev_urandom,tcp_est,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12579 regs=3236 log_rx=54000 svcs=4 mem_mib=854 memd_kills=90","",""
S058one_urandom.tcp___epg_index,S,epg_index,tcp_est,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12587 regs=3236 log_rx=54050 svcs=4 mem_mib=855 memd_kills=90","",""
S058one_urandom.tcp___ready,S,ready,tcp_est,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12595 regs=3236 log_rx=54100 svcs=4 mem_mib=854 memd_kills=90","(00.128711) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S058one_urandom.tcp___steady,S,steady,tcp_est,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12604 regs=3236 log_rx=54100 svcs=4 mem_mib=854 memd_kills=90","(00.133713) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
