scenario,family,phase,criu_opts,pre_dump,post_dump,restore_mem_mib,hub_mode,launch_ok,dump_rc,restore_rc,img_kib,v_pong,v_stat,v_hub,v_tcp,v_live5,v_resume,rereg_ms,verdict,world,dump_err,restore_err
S001pure.stri__init,S,init,strict,none,none,0,none,1,0,0,292,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=644 regs=6 log_rx=2750 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__db_open,S,db_open,strict,none,none,0,none,1,0,0,296,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=652 regs=6 log_rx=2750 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__db_read,S,db_read,strict,none,none,0,none,1,0,0,1316,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=660 regs=6 log_rx=2800 svcs=4 mem_mib=814 memd_kills=0
0","",""
S001pure.stri__db_read_p25,S,db_read_p25,strict,none,none,0,none,1,0,0,1316,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=668 regs=6 log_rx=2850 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__db_read_p50,S,db_read_p50,strict,none,none,0,none,1,0,0,1316,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=675 regs=6 log_rx=2850 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__db_read_p75,S,db_read_p75,strict,none,none,0,none,1,0,0,1316,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=683 regs=6 log_rx=2900 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__db_parse,S,db_parse,strict,none,none,0,none,1,0,0,1312,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=691 regs=6 log_rx=2950 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__db_parse_p25,S,db_parse_p25,strict,none,none,0,none,1,0,0,1312,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=699 regs=6 log_rx=2950 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__db_parse_p50,S,db_parse_p50,strict,none,none,0,none,1,0,0,1312,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=707 regs=6 log_rx=3000 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__db_parse_p75,S,db_parse_p75,strict,none,none,0,none,1,0,0,1312,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=715 regs=6 log_rx=3050 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__epg_index,S,epg_index,strict,none,none,0,none,1,0,0,13604,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=723 regs=6 log_rx=3050 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__epg_index_p25,S,epg_index_p25,strict,none,none,0,none,1,0,0,4392,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=731 regs=6 log_rx=3100 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__epg_index_p50,S,epg_index_p50,strict,none,none,0,none,1,0,0,7464,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=738 regs=6 log_rx=3150 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__epg_index_p75,S,epg_index_p75,strict,none,none,0,none,1,0,0,10536,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=746 regs=6 log_rx=3150 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__epg_text,S,epg_text,strict,none,none,0,none,1,0,0,13604,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=754 regs=6 log_rx=3200 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__epg_reserve,S,epg_reserve,strict,none,none,0,none,1,0,0,13604,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=762 regs=6 log_rx=3250 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__timer_armed,S,timer_armed,strict,none,none,0,none,1,0,0,13600,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=770 regs=6 log_rx=3250 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__db_watch,S,db_watch,strict,none,none,0,none,1,1,na,132,na,na,na,na,na,na,na,dump_fail,"up_s=778 regs=6 log_rx=3300 svcs=4 mem_mib=815 memd_kills=0
0","(00.211577) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S001pure.stri__ready,S,ready,strict,none,none,0,none,1,1,na,132,na,na,na,na,na,na,na,dump_fail,"up_s=786 regs=6 log_rx=3350 svcs=4 mem_mib=815 memd_kills=0
0","(00.134196) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S001pure.stri__steady,S,steady,strict,none,none,0,none,1,1,na,132,na,na,na,na,na,na,na,dump_fail,"up_s=794 regs=6 log_rx=3400 svcs=4 mem_mib=815 memd_kills=0
0","(00.141804) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S002pure.ext___init,S,init,ext_unix,none,none,0,none,1,0,0,292,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=802 regs=6 log_rx=3400 svcs=4 mem_mib=815 memd_kills=0
0","",""
S002pure.ext___db_open,S,db_open,ext_unix,none,none,0,none,1,0,0,292,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=810 regs=6 log_rx=3450 svcs=4 mem_mib=815 memd_kills=0
0","",""
S002pure.ext___db_read,S,db_read,ext_unix,none,none,0,none,1,0,0,1312,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=818 regs=6 log_rx=3500 svcs=4 mem_mib=815 memd_kills=0
0","",""
S002pure.ext___db_read_p25,S,db_read_p25,ext_unix,none,none,0,none,1,0,0,1312,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=825 regs=6 log_rx=3500 svcs=4 mem_mib=815 memd_kills=0
0","",""
S002pure.ext___db_read_p50,S,db_read_p50,ext_unix,none,none,0,none,1,0,0,1312,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=833 regs=6 log_rx=3550 svcs=4 mem_mib=815 memd_kills=0
0","",""
S002pure.ext___db_read_p75,S,db_read_p75,ext_unix,none,none,0,none,1,0,0,1312,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=841 regs=6 log_rx=3600 svcs=4 mem_mib=815 memd_kills=0
0","",""
S002pure.ext___db_parse,S,db_parse,ext_unix,none,none,0,none,1,0,0,1308,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=849 regs=6 log_rx=3600 svcs=4 mem_mib=815 memd_kills=0
0","",""
S002pure.ext___db_parse_p25,S,db_parse_p25,ext_unix,none,none,0,none,1,0,0,1308,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=857 regs=6 log_rx=3650 svcs=4 mem_mib=816 memd_kills=0
0","",""
S002pure.ext___db_parse_p50,S,db_parse_p50,ext_unix,none,none,0,none,1,0,0,1308,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=865 regs=6 log_rx=3700 svcs=4 mem_mib=816 memd_kills=0
0","",""
S002pure.ext___db_parse_p75,S,db_parse_p75,ext_unix,none,none,0,none,1,0,0,1308,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=872 regs=6 log_rx=3700 svcs=4 mem_mib=816 memd_kills=0
0","",""
S002pure.ext___epg_index,S,epg_index,ext_unix,none,none,0,none,1,0,0,13600,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=880 regs=6 log_rx=3750 svcs=4 mem_mib=816 memd_kills=0
0","",""
S002pure.ext___epg_index_p25,S,epg_index_p25,ext_unix,none,none,0,none,1,0,0,4384,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=888 regs=6 log_rx=3800 svcs=4 mem_mib=816 memd_kills=0
0","",""
S002pure.ext___epg_index_p50,S,epg_index_p50,ext_unix,none,none,0,none,1,0,0,7460,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=896 regs=6 log_rx=3800 svcs=4 mem_mib=816 memd_kills=0
0","",""
S002pure.ext___epg_index_p75,S,epg_index_p75,ext_unix,none,none,0,none,1,0,0,10532,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=904 regs=6 log_rx=3850 svcs=4 mem_mib=816 memd_kills=0
0","",""
S002pure.ext___epg_text,S,epg_text,ext_unix,none,none,0,none,1,0,0,13600,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=911 regs=6 log_rx=3900 svcs=4 mem_mib=816 memd_kills=0
0","",""
S002pure.ext___epg_reserve,S,epg_reserve,ext_unix,none,none,0,none,1,0,0,13600,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=919 regs=6 log_rx=3900 svcs=4 mem_mib=816 memd_kills=0
0","",""
S002pure.ext___timer_armed,S,timer_armed,ext_unix,none,none,0,none,1,0,0,13600,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=927 regs=6 log_rx=3950 svcs=4 mem_mib=816 memd_kills=0
0","",""
S002pure.ext___db_watch,S,db_watch,ext_unix,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=935 regs=6 log_rx=4000 svcs=4 mem_mib=816 memd_kills=0
0","(00.142837) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S002pure.ext___ready,S,ready,ext_unix,none,none,0,none,1,1,na,128,na,na,na,na,na,na,na,dump_fail,"up_s=943 regs=6 log_rx=4000 svcs=4 mem_mib=816 memd_kills=0
0","(00.154346) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S002pure.ext___steady,S,steady,ext_unix,none,none,0,none,1,1,na,128,na,na,na,na,na,na,na,dump_fail,"up_s=951 regs=6 log_rx=4050 svcs=4 mem_mib=816 memd_kills=0
0","(00.115440) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S003pure.tcp___init,S,init,tcp_est,none,none,0,none,1,0,0,288,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=959 regs=6 log_rx=4100 svcs=4 mem_mib=816 memd_kills=0
0","",""
S003pure.tcp___db_open,S,db_open,tcp_est,none,none,0,none,1,0,0,288,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=967 regs=6 log_rx=4100 svcs=4 mem_mib=816 memd_kills=0
0","",""
S003pure.tcp___db_read,S,db_read,tcp_est,none,none,0,none,1,0,0,1308,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=975 regs=6 log_rx=4150 svcs=4 mem_mib=816 memd_kills=0
0","",""
S003pure.tcp___db_read_p25,S,db_read_p25,tcp_est,none,none,0,none,1,0,0,1308,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=982 regs=6 log_rx=4200 svcs=4 mem_mib=816 memd_kills=0
0","",""
S003pure.tcp___db_read_p50,S,db_read_p50,tcp_est,none,none,0,none,1,0,0,1308,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=990 regs=6 log_rx=4200 svcs=4 mem_mib=816 memd_kills=0
0","",""
S003pure.tcp___db_read_p75,S,db_read_p75,tcp_est,none,none,0,none,1,0,0,1308,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=998 regs=6 log_rx=4250 svcs=4 mem_mib=816 memd_kills=0
0","",""
S003pure.tcp___db_parse,S,db_parse,tcp_est,none,none,0,none,1,0,0,1308,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1006 regs=6 log_rx=4300 svcs=4 mem_mib=816 memd_kills=0
0","",""
S003pure.tcp___db_parse_p25,S,db_parse_p25,tcp_est,none,none,0,none,1,0,0,1308,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1014 regs=6 log_rx=4300 svcs=4 mem_mib=816 memd_kills=0
0","",""
S003pure.tcp___db_parse_p50,S,db_parse_p50,tcp_est,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1021 regs=6 log_rx=4350 svcs=4 mem_mib=816 memd_kills=0
0","",""
S003pure.tcp___db_parse_p75,S,db_parse_p75,tcp_est,none,none,0,none,1,0,0,1308,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1029 regs=6 log_rx=4400 svcs=4 mem_mib=816 memd_kills=0
0","",""
S003pure.tcp___epg_index,S,epg_index,tcp_est,none,none,0,none,1,0,0,13600,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1037 regs=6 log_rx=4400 svcs=4 mem_mib=817 memd_kills=0
0","",""
S003pure.tcp___epg_index_p25,S,epg_index_p25,tcp_est,none,none,0,none,1,0,0,4384,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1045 regs=6 log_rx=4450 svcs=4 mem_mib=816 memd_kills=0
0","",""
S003pure.tcp___epg_index_p50,S,epg_index_p50,tcp_est,none,none,0,none,1,0,0,7456,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1053 regs=6 log_rx=4500 svcs=4 mem_mib=817 memd_kills=0
0","",""
S003pure.tcp___epg_index_p75,S,epg_index_p75,tcp_est,none,none,0,none,1,0,0,10532,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1061 regs=6 log_rx=4500 svcs=4 mem_mib=817 memd_kills=0
0","",""
S003pure.tcp___epg_text,S,epg_text,tcp_est,none,none,0,none,1,0,0,13600,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1068 regs=6 log_rx=4550 svcs=4 mem_mib=817 memd_kills=0
0","",""
S003pure.tcp___epg_reserve,S,epg_reserve,tcp_est,none,none,0,none,1,0,0,13600,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1076 regs=6 log_rx=4600 svcs=4 mem_mib=817 memd_kills=0
0","",""
S003pure.tcp___timer_armed,S,timer_armed,tcp_est,none,none,0,none,1,0,0,13600,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1084 regs=6 log_rx=4600 svcs=4 mem_mib=817 memd_kills=0
0","",""
S003pure.tcp___db_watch,S,db_watch,tcp_est,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=1092 regs=6 log_rx=4650 svcs=4 mem_mib=816 memd_kills=0
0","(00.125055) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S003pure.tcp___ready,S,ready,tcp_est,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=1100 regs=6 log_rx=4700 svcs=4 mem_mib=816 memd_kills=0
0","(00.133892) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S003pure.tcp___steady,S,steady,tcp_est,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=1108 regs=6 log_rx=4700 svcs=4 mem_mib=816 memd_kills=0
0","(00.118818) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S004pure.file__init,S,init,filelocks,none,none,0,none,1,0,0,288,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1116 regs=6 log_rx=4750 svcs=4 mem_mib=817 memd_kills=0
0","",""
S004pure.file__db_open,S,db_open,filelocks,none,none,0,none,1,0,0,288,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1124 regs=6 log_rx=4800 svcs=4 mem_mib=817 memd_kills=0
0","",""
S004pure.file__db_read,S,db_read,filelocks,none,none,0,none,1,0,0,1308,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1132 regs=6 log_rx=4800 svcs=4 mem_mib=817 memd_kills=0
0","",""
S004pure.file__db_read_p25,S,db_read_p25,filelocks,none,none,0,none,1,0,0,1308,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1139 regs=6 log_rx=4850 svcs=4 mem_mib=817 memd_kills=0
0","",""
S004pure.file__db_read_p50,S,db_read_p50,filelocks,none,none,0,none,1,0,0,1308,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1147 regs=6 log_rx=4900 svcs=4 mem_mib=817 memd_kills=0
0","",""
S004pure.file__db_read_p75,S,db_read_p75,filelocks,none,none,0,none,1,0,0,1308,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1155 regs=6 log_rx=4900 svcs=4 mem_mib=817 memd_kills=0
0","",""
S004pure.file__db_parse,S,db_parse,filelocks,none,none,0,none,1,0,0,1308,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1163 regs=6 log_rx=4950 svcs=4 mem_mib=817 memd_kills=0
0","",""
S004pure.file__db_parse_p25,S,db_parse_p25,filelocks,none,none,0,none,1,0,0,1308,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1171 regs=6 log_rx=5000 svcs=4 mem_mib=817 memd_kills=0
0","",""
S004pure.file__db_parse_p50,S,db_parse_p50,filelocks,none,none,0,none,1,0,0,1308,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1178 regs=6 log_rx=5000 svcs=4 mem_mib=817 memd_kills=0
0","",""
S004pure.file__db_parse_p75,S,db_parse_p75,filelocks,none,none,0,none,1,0,0,1308,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1186 regs=6 log_rx=5050 svcs=4 mem_mib=817 memd_kills=0
0","",""
S004pure.file__epg_index,S,epg_index,filelocks,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1194 regs=6 log_rx=5100 svcs=4 mem_mib=817 memd_kills=0
0","",""
S004pure.file__epg_index_p25,S,epg_index_p25,filelocks,none,none,0,none,1,0,0,4384,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1202 regs=6 log_rx=5100 svcs=4 mem_mib=817 memd_kills=0
0","",""
S004pure.file__epg_index_p50,S,epg_index_p50,filelocks,none,none,0,none,1,0,0,7456,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1210 regs=6 log_rx=5150 svcs=4 mem_mib=817 memd_kills=0
0","",""
S004pure.file__epg_index_p75,S,epg_index_p75,filelocks,none,none,0,none,1,0,0,10528,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1218 regs=6 log_rx=5200 svcs=4 mem_mib=817 memd_kills=0
0","",""
S004pure.file__epg_text,S,epg_text,filelocks,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1226 regs=6 log_rx=5200 svcs=4 mem_mib=818 memd_kills=0
0","",""
S004pure.file__epg_reserve,S,epg_reserve,filelocks,none,none,0,none,1,0,0,13600,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1233 regs=6 log_rx=5250 svcs=4 mem_mib=817 memd_kills=0
0","",""
S004pure.file__timer_armed,S,timer_armed,filelocks,none,none,0,none,1,0,0,13600,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1241 regs=6 log_rx=5300 svcs=4 mem_mib=817 memd_kills=0
0","",""
S004pure.file__db_watch,S,db_watch,filelocks,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=1249 regs=6 log_rx=5300 svcs=4 mem_mib=817 memd_kills=0
0","(00.132913) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S004pure.file__ready,S,ready,filelocks,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=1257 regs=6 log_rx=5350 svcs=4 mem_mib=817 memd_kills=0
0","(00.132895) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S004pure.file__steady,S,steady,filelocks,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=1265 regs=6 log_rx=5400 svcs=4 mem_mib=817 memd_kills=0
0","(00.134145) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S005pure.perm__init,S,init,permissive,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1273 regs=6 log_rx=5400 svcs=4 mem_mib=817 memd_kills=0
0","",""
S005pure.perm__db_open,S,db_open,permissive,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1281 regs=6 log_rx=5450 svcs=4 mem_mib=818 memd_kills=0
0","",""
S005pure.perm__db_read,S,db_read,permissive,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1289 regs=6 log_rx=5500 svcs=4 mem_mib=818 memd_kills=0
0","",""
S005pure.perm__db_read_p25,S,db_read_p25,permissive,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1297 regs=6 log_rx=5550 svcs=4 mem_mib=817 memd_kills=0
0","",""
S005pure.perm__db_read_p50,S,db_read_p50,permissive,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1304 regs=6 log_rx=5550 svcs=4 mem_mib=818 memd_kills=0
0","",""
S005pure.perm__db_read_p75,S,db_read_p75,permissive,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1312 regs=6 log_rx=5600 svcs=4 mem_mib=818 memd_kills=0
0","",""
S005pure.perm__db_parse,S,db_parse,permissive,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1320 regs=6 log_rx=5600 svcs=4 mem_mib=818 memd_kills=0
0","",""
S005pure.perm__db_parse_p25,S,db_parse_p25,permissive,none,none,0,none,1,0,0,1308,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1328 regs=6 log_rx=5650 svcs=4 mem_mib=818 memd_kills=0
0","",""
S005pure.perm__db_parse_p50,S,db_parse_p50,permissive,none,none,0,none,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1336 regs=6 log_rx=5700 svcs=4 mem_mib=818 memd_kills=0
0","",""
S005pure.perm__db_parse_p75,S,db_parse_p75,permissive,none,none,0,none,1,0,0,1300,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1343 regs=6 log_rx=5750 svcs=4 mem_mib=818 memd_kills=0
0","",""
S005pure.perm__epg_index,S,epg_index,permissive,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1351 regs=6 log_rx=5750 svcs=4 mem_mib=818 memd_kills=0
0","",""
S005pure.perm__epg_index_p25,S,epg_index_p25,permissive,none,none,0,none,1,0,0,4384,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1359 regs=6 log_rx=5800 svcs=4 mem_mib=818 memd_kills=0
0","",""
S005pure.perm__epg_index_p50,S,epg_index_p50,permissive,none,none,0,none,1,0,0,7456,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1367 regs=6 log_rx=5850 svcs=4 mem_mib=818 memd_kills=0
0","",""
S005pure.perm__epg_index_p75,S,epg_index_p75,permissive,none,none,0,none,1,0,0,10528,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1375 regs=6 log_rx=5850 svcs=4 mem_mib=818 memd_kills=0
0","",""
S005pure.perm__epg_text,S,epg_text,permissive,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1383 regs=6 log_rx=5900 svcs=4 mem_mib=818 memd_kills=0
0","",""
S005pure.perm__epg_reserve,S,epg_reserve,permissive,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1390 regs=6 log_rx=5950 svcs=4 mem_mib=818 memd_kills=0
0","",""
S005pure.perm__timer_armed,S,timer_armed,permissive,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1398 regs=6 log_rx=5950 svcs=4 mem_mib=818 memd_kills=0
0","",""
S005pure.perm__db_watch,S,db_watch,permissive,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=1406 regs=6 log_rx=6000 svcs=4 mem_mib=818 memd_kills=0
0","(00.130463) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S005pure.perm__ready,S,ready,permissive,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=1414 regs=6 log_rx=6050 svcs=4 mem_mib=818 memd_kills=0
0","(00.131676) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S005pure.perm__steady,S,steady,permissive,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=1422 regs=6 log_rx=6050 svcs=4 mem_mib=818 memd_kills=0
0","(00.141070) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S006hub1.stri__init,S,init,strict,none,none,0,normal,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1431 regs=7 log_rx=6100 svcs=4 mem_mib=818 memd_kills=0
0","",""
S006hub1.stri__db_open,S,db_open,strict,none,none,0,normal,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1439 regs=8 log_rx=6150 svcs=4 mem_mib=818 memd_kills=0
0","",""
S006hub1.stri__db_read,S,db_read,strict,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1447 regs=9 log_rx=6150 svcs=4 mem_mib=818 memd_kills=0
0","",""
S006hub1.stri__db_read_p25,S,db_read_p25,strict,none,none,0,normal,1,0,0,1300,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1455 regs=10 log_rx=6200 svcs=4 mem_mib=818 memd_kills=0
0","",""
S006hub1.stri__db_read_p50,S,db_read_p50,strict,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1464 regs=11 log_rx=6250 svcs=4 mem_mib=818 memd_kills=0
0","",""
S006hub1.stri__db_read_p75,S,db_read_p75,strict,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1472 regs=12 log_rx=6250 svcs=4 mem_mib=818 memd_kills=0
0","",""
S006hub1.stri__db_parse,S,db_parse,strict,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1480 regs=13 log_rx=6300 svcs=4 mem_mib=818 memd_kills=0
0","",""
S006hub1.stri__db_parse_p25,S,db_parse_p25,strict,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1488 regs=14 log_rx=6350 svcs=4 mem_mib=818 memd_kills=0
0","",""
S006hub1.stri__db_parse_p50,S,db_parse_p50,strict,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1496 regs=15 log_rx=6400 svcs=4 mem_mib=818 memd_kills=0
0","",""
S006hub1.stri__db_parse_p75,S,db_parse_p75,strict,none,none,0,normal,1,0,0,1304,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1505 regs=16 log_rx=6400 svcs=4 mem_mib=819 memd_kills=0
0","",""
S006hub1.stri__epg_index,S,epg_index,strict,none,none,0,normal,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1513 regs=17 log_rx=6450 svcs=4 mem_mib=819 memd_kills=0
0","",""
S006hub1.stri__epg_index_p25,S,epg_index_p25,strict,none,none,0,normal,1,0,0,4384,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1521 regs=18 log_rx=6500 svcs=4 mem_mib=819 memd_kills=0
0","",""
S006hub1.stri__epg_index_p50,S,epg_index_p50,strict,none,none,0,normal,1,0,0,7456,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1529 regs=19 log_rx=6500 svcs=4 mem_mib=819 memd_kills=0
0","",""
S006hub1.stri__epg_index_p75,S,epg_index_p75,strict,none,none,0,normal,1,0,0,10528,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1538 regs=20 log_rx=6550 svcs=4 mem_mib=819 memd_kills=0
0","",""
S006hub1.stri__epg_text,S,epg_text,strict,none,none,0,normal,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1546 regs=21 log_rx=6600 svcs=4 mem_mib=819 memd_kills=0
0","",""
S006hub1.stri__epg_reserve,S,epg_reserve,strict,none,none,0,normal,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=1554 regs=22 log_rx=6650 svcs=4 mem_mib=819 memd_kills=0
0","",""
